,0,1,2
0,9.939294,8.736378,8.625063
1,9.956584,8.480452,8.503408
2,9.901873,8.158639,8.129206
3,9.955298,8.0079775,8.008559
4,9.8375072,7.868395,7.858473
5,10.161488,7.7863364,7.7843695
6,10.204437,7.720438,7.7165856
7,9.6660504,7.6780124,7.676513
8,10.638324,7.646339,7.6447
9,10.619353,7.6251245,7.624267
10,10.6059227,7.609861,7.609123
11,10.596666,7.599449,7.599004
12,10.4901794,7.5920944,7.5917516
13,11.1856934,7.587034,7.586812
14,11.2825653,7.5834923,7.5833297
15,10.5803986,7.581044,7.5809355
16,11.4788918,7.5793386,7.5792613
17,11.577847,7.578158,7.578105
18,11.3771213,7.5773363,7.5772996
19,11.6766177,7.5767674,7.576742
20,11.776268,7.576372,7.5763545
21,11.676026,7.576098,7.5760856
22,11.5758576,7.5759077,7.575899
23,11.675741,7.5757756,7.57577
24,11.5756598,7.575684,7.57568
